count_year,Airway Heights Corrections Center,Cedar Creek Corrections Center,Clallam Bay Corrections Center,Coyote Ridge Corrections Center,Larch Corrections Center,Mission Creek Corrections Center for Women,Monroe Correctional Complex,Olympic Corrections Center,Stafford Creek Corrections Center,Washington Correction Center,Washington Correction Center for Women,Washington State Penitentiary,Prison Facility Totals,Statewide Emergency Beds,"Prison Facility Totals + Statewide Emergency Beds
(Prison Total Confinement)",Work Release,Total and Partial Confinement Totals
adp_apr_2014,"2,153",471,870,"2,504",473,314,"2,541",390,"1,959","1,794",934,"2,353","16,756",0,"16,756",676,"17,441"
capacity_apr_2014,"2,152",480,900,"2,528",480,300,"2,500",381,"1,972","1,398",764,"2,183","16,038",470,"16,508",679,"17,187"
adp_may_2014,"2,178",475,881,"2,532",476,312,"2,530",386,"1,937","1,766",916,"2,380","16,768",0,"16,768",680,"17,464"
capacity_may_2014,"2,152",480,900,"2,528",480,300,"2,500",381,"1,972","1,398",764,"2,183","16,038",470,"16,508",679,"17,187"
adp_jun_2014,"2,186",474,897,"2,537",476,312,"2,532",387,"1,941","1,728",897,"2,412","16,779",0,"16,779",656,"17,435"
capacity_jun_2014,"2,152",480,900,"2,258",480,300,"2,500",381,"1,972","1,398",764,"2,183","16,038",470,"16,508",679,"17,187"
adp_jul_2014,"2,179",475,894,"2,542",474,308,"2,515",392,"1,962","1,684",884,"2,447","16,756",0,"16,756",679,"17,462"
capacity_jul_2014,"2,152",480,900,"2,528",480,300,"2,500",381,"1,972","1,398",764,"2,439","16,294",470,"16,764",679,"17,467"
adp_aug_2014,"2,182",473,889,"2,516",477,313,"2,471",392,"1,926","1,733",862,"2,509","16,743",0,"16,743",694,"17,469"
capacity_aug_2014,"2,152",480,900,"2,528",480,300,"2,500",381,"1,972","1,398",764,"2,439","16,294",470,"16,764",679,"17,491"
adp_sep_2014,"2,178",477,887,"2,503",478,312,"2,468",381,"1,910","1,704",854,"2,547","16,699",0,"16,699",689,"17,422"
capacity_sep_2014,"2,152",480,900,"2,528",480,300,"2,500",381,"1,972","1,398",764,"2,439","16,294",470,"16,764",679,"17,491"
adp_oct_2014,"2,154",472,879,"2,473",473,311,"2,438",386,"1,911","1,771",849,"2,571","16,688",0,"16,688",699,"17,420"
capacity_oct_2014,"2,152",480,900,"2,528",480,300,"2,500",381,"1,972","1,398",764,"2,439","16,294",470,"16,764",679,"17,491"
adp_nov_2014,"2,184",471,892,"2,482",473,313,"2,449",391,"1,935","1,677",863,"2,555","16,685",0,"16,685",705,"17,418"
capacity_nov_2014,"2,152",480,900,"2,528",480,300,"2,500",381,"1,972","1,398",764,"2,439","16,294",450,"16,744",679,"17,498"
adp_dec_2014,"2,181",470,885,"2,491",471,315,"2,438",388,"1,938","1,667",874,"2,579","16,697",0,"16,697",686,"17,408"
capacity_dec_2014,"2,152",480,900,"2,528",480,300,"2,500",381,"1,972","1,398",764,"2,439","16,294",450,"16,744",679,"17,329"
