DocID	FilerName	MemberName	State	District	Year	Destination	FilingType	DepartureDate	ReturnDate	TravelSponsor
500022891	Brenda L. Lawrence	Lawrence, Brenda L.	MI	14	2020	Munich, Germany	Original	2/15/2020	2/20/2020	German Marshall Fund of the United States
Robert Bosch Stiftung
500022892	Parish Braden	Bishop, Rob	UT	1	2020	White Sulpher Springs, WV	Original	2/19/2020	2/22/2020	Congressional Institute
500022893	Melissa Kelly	Olson, Pete	TX	22	2020	White Sulpher Springs, WV	Original	2/19/2020	2/22/2020	Congressional Institute
500022894	Greg Walden	Walden, Greg	OR	2	2020	Kyoto, Japan	Original	2/14/2020	2/23/2020	US Association of Former Members of Congress
500022894	Greg Walden	Walden, Greg	OR	2	2020	Tokyo, Japan	Original	2/14/2020	2/23/2020	US Association of Former Members of Congress
500022895	Larry Bucshon	Bucshon, Larry	IN	8	2020	Kyoto, Japan	Original	2/15/2020	2/22/2020	US Association of Former Members of Congress
500022895	Larry Bucshon	Bucshon, Larry	IN	8	2020	Tokyo, Japan	Original	2/15/2020	2/22/2020	US Association of Former Members of Congress
500022896	Shiouyu Theresa Lou	Engel, Eliot L.	NY	16	2020	San Juan, PR	Original	2/20/2020	2/23/2020	Information Technology and Innovation Foundation
500022897	Wendy D. Anderson	Demings, Val Butler	FL	10	2020	Berlin, Germany	Original	2/17/2020	2/21/2020	Global Women's Innovation Network
500022898	C.A. Dutch Ruppersberger	Ruppersberger, C.	MD	2	2020	Elmau, Germany	Original	2/15/2020	2/20/2020	German Marshall Fund of the United States
Robert Bosch Stiftung
500022898	C.A. Dutch Ruppersberger	Ruppersberger, C.	MD	2	2020	Munich, Germany	Original	2/15/2020	2/20/2020	German Marshall Fund of the United States
Robert Bosch Stiftung
500022899	Robin L. Kelly	Kelly, Robin	IL	2	2020	Elmau, Germany	Original	2/15/2020	2/20/2020	German Marshall Fund of the United States
Robert Bosch Stiftung
500022899	Robin L. Kelly	Kelly, Robin	IL	2	2020	Munich, Germany	Original	2/15/2020	2/20/2020	German Marshall Fund of the United States
Robert Bosch Stiftung
500022900	Bill Flores	Flores, Bill	TX	17	2020	Elmau, Germany	Original	2/15/2020	2/20/2020	German Marshall Fund of the United States
Robert Bosch Stiftung
500022900	Bill Flores	Flores, Bill	TX	17	2020	Munich, Germany	Original	2/15/2020	2/20/2020	German Marshall Fund of the United States
Robert Bosch Stiftung
500022901	Katie Smith	Holding, George	NC	2	2020	White Sulpher Springs, WV	Original	2/19/2020	2/21/2020	Congressional Institute
500022902	Timothy Monahan	Davis, Rodney	IL	13	2020	White Sulpher Springs, WV	Original	2/19/2020	2/21/2020	Congressional Institute
500022903	Anthony Flynn, Jr. ("Roddy")	Scanlon, Mary	PA	5	2020	San Juan, PR	Original	2/20/2020	2/23/2020	Information Technology and Innovation Foundation
500022904	Anthony Flynn, Jr. ("Roddy")	Scanlon, Mary	PA	5	2020	Los Angeles, CA	Original	2/18/2020	2/20/2020	Motion Picture Association
500022904	Anthony Flynn, Jr. ("Roddy")	Scanlon, Mary	PA	5	2020	Universal City, CA	Original	2/18/2020	2/20/2020	Motion Picture Association
500022905	Patrick Stewart-Hester	Stefanik, Elise	NY	21	2020	White Sulpher Springs, WV	Original	2/19/2020	2/21/2020	Congressional Institute
500022906	Daniel Smith RuBoss	Doggett, Lloyd	TX	37	2020	San Juan, PR	Original	2/20/2020	2/23/2020	Information Technology and Innovation Foundation
500022907	Chellie Pingree	Pingree, Chellie	ME	1	2020	Kyoto, Japan	Original	2/15/2020	2/22/2020	US Association of Former Members of Congress
500022907	Chellie Pingree	Pingree, Chellie	ME	1	2020	Tokyo, Japan	Original	2/15/2020	2/22/2020	US Association of Former Members of Congress
500022908	Andre Lindsay	Scott, Robert	VA	3	2020	Denver, CO	Original	2/17/2020	2/19/2020	Aspen Institute
500022909	Lakeisha Steele	Scott, Robert	VA	3	2020	Denver, CO	Original	2/17/2020	2/19/2020	Aspen Institute
500022910	David Russell	Moolenaar, John	MI	2	2020	White Sulpher Springs, WV	Original	2/19/2020	2/21/2020	Congressional Institute
500022911	Mark E. Green	Green, Mark	TN	7	2020	Elmau, Germany	Original	2/15/2020	2/20/2020	German Marshall Fund of the United States
Robert Bosch Stiftung
500022911	Mark E. Green	Green, Mark	TN	7	2020	Munich, Germany	Original	2/15/2020	2/20/2020	German Marshall Fund of the United States
Robert Bosch Stiftung
500022913	Craig Anderson	Scott, Austin	GA	8	2020	El Paso, TX	Original	2/17/2020	2/22/2020	Woodrow Wilson International Center for Scholars
500022913	Craig Anderson	Scott, Austin	GA	8	2020	Mexico City, Mexico	Original	2/17/2020	2/22/2020	Woodrow Wilson International Center for Scholars
500022914	Kelly Dixon Chambers	Cole, Tom	OK	4	2020	White Sulpher Springs, WV	Original	2/19/2020	2/21/2020	Congressional Institute
500022915	Becky Relic	Womack, Steve	AR	3	2020	White Sulpher Springs, WV	Original	2/19/2020	2/20/2020	Congressional Institute
500022916	Mike Smullen	Johnson, Bill	OH	6	2020	White Sulpher Springs, WV	Original	2/19/2020	2/21/2020	Congressional Institute
500022917	Rricha Mathur deCant	Chu, Judy	CA	28	2020	New Orleans, LA	Original	2/18/2020	2/19/2020	Casey Family Programs
500022918	Emily Hadden	Dunn, Neal	FL	2	2020	Clewiston, FL	Original	2/19/2020	2/21/2020	South Florida Agricultural Foundation
500022918	Emily Hadden	Dunn, Neal	FL	2	2020	West Palm Beach, FL	Original	2/19/2020	2/21/2020	South Florida Agricultural Foundation
500022919	Ann Minkler	Scalise, Steve	LA	1	2020	White Sulpher Springs, WV	Original	2/20/2020	2/21/2020	Congressional Institute
500022920	William J. Hughes	Scalise, Steve	LA	1	2020	White Sulpher Springs, WV	Original	2/19/2020	2/21/2020	Congressional Institute
500022921	Michael R. Turner	Turner, Michael	OH	10	2020	Elmau, Germany	Original	2/16/2020	2/20/2020	German Marshall Fund of the United States
Robert Bosch Stiftung
500022921	Michael R. Turner	Turner, Michael	OH	10	2020	Munich, Germany	Original	2/16/2020	2/20/2020	German Marshall Fund of the United States
Robert Bosch Stiftung
500022922	Jordan Downs	Guest, Michael	MS	3	2020	White Sulpher Springs, WV	Original	2/19/2020	2/21/2020	Congressional Institute
500022923	Emily Weber	Allred, Colin	TX	32	2020	Kigali, Rwanda	Original	2/15/2020	2/21/2020	United Nations Foundation
500022924	Robert Adkerson	Loudermilk, Barry	GA	11	2020	White Sulpher Springs, WV	Original	2/19/2020	2/21/2020	Congressional Institute
500022925	John Byers	Hurd, Will	TX	23	2020	White Sulpher Springs, WV	Original	2/19/2020	2/20/2020	Congressional Institute
500022926	Sofya Leonova	Lipinski, Daniel	IL	3	2020	El Paso, TX	Original	2/17/2020	2/22/2020	Woodrow Wilson International Center for Scholars
500022926	Sofya Leonova	Lipinski, Daniel	IL	3	2020	Mexico City, Mexico	Original	2/17/2020	2/22/2020	Woodrow Wilson International Center for Scholars
500022927	Christine Heggem	Gianforte, Greg	MT	0	2020	Berlin, Germany	Original	2/17/2020	2/21/2020	Global Women's Innovation Network
500022928	James R. Baird	Baird, James	IN	4	2020	Kyoto, Japan	Original	2/15/2020	2/22/2020	US Association of Former Members of Congress
500022928	James R. Baird	Baird, James	IN	4	2020	Tokyo, Japan	Original	2/15/2020	2/22/2020	US Association of Former Members of Congress
500022929	Elizabeth Messer	Rutherford, John	FL	5	2020	Clewiston, FL	Original	2/19/2020	2/22/2020	South Florida Agricultural Foundation
500022929	Elizabeth Messer	Rutherford, John	FL	5	2020	West Palm Beach, FL	Original	2/19/2020	2/22/2020	South Florida Agricultural Foundation
500022930	Jake Olson	Graves, Tom	GA	14	2020	White Sulpher Springs, WV	Original	2/19/2020	2/21/2020	Congressional Institute
500022931	Ricki Schroeder	Conaway, K. Michael	TX	11	2020	Clewiston, FL	Original	2/19/2020	2/21/2020	South Florida Agriculture Foundation
